"b_lang","b_num","b_dict","b_dictauthor"
"C","H","《汉译パーリ语辞典》","汉译パーリ语辞典 黃秉榮譯"
"C","T","《汉译パーリ语辞典》","汉译パーリ语辞典 李瑩譯"
"C","S","《パーリ语辞典》","パーリ语辞典 日本水野弘元"
"C","A","《パーリ语辞典》","パーリ语辞典 增补改订 日本水野弘元"
"C","J","《パーリ语辞典-勘误表》","《水野弘元-巴利语辞典-勘误表》 Bhikkhu Santagavesaka 覓寂尊者"
"C","M","《巴利语汇解》","巴利语汇解&巴利新音译 玛欣德尊者"
"C","D","《巴汉词典》","《巴汉词典》Mahāñāṇo Bhikkhu编著"
"C","F","《巴汉词典》","《巴汉词典》明法尊者增订"
"C","G","《巴利语字汇》","四念住课程开示集要巴利语字汇（葛印卡）"
"C","W","《巴英术语汇编》","巴英术语汇编 《法的医疗》附 温宗堃"
"C","Z","《巴汉佛学辞汇》","巴利文-汉文佛学名相辞汇 翻译：张文明"
"C","X","《巴利语入门》","《巴利语入门》释性恩(Dhammajīvī)"
"E","B","Pali Myanmar Dictionary","Pali Word Grammar from Pali Myanmar Dictionary"
"E","N","Buddhist Dictionary","Buddhist Dictionary by NYANATILOKA MAHATHERA"
"E","C","Concise P-E Dictionary    ","Concise Pali-English Dictionary by A.P. Buddhadatta Mahathera"
"E","P","PTS P-E Dictionary","PTS Pali-English dictionary The Pali Text Society's Pali-English dictionary"
"E","V","Pali Proper Names Dictionary","Buddhist Dictionary of Pali Proper Names by G P Malalasekera"
"E","I","Pali-Dictonary from VRI","Pali-Dictionary Vipassana Research Institute"
"E","U","Pali Viet Dictionary","Pali Viet Dictionary  Bản dịch của ngài Bửu Chơn."
"E","Q","Pali Viet Vinaya Terms","Pali Viet Vinaya Terms  Từ điển các thuật ngữ về luật do tỳ khưu Giác Nguyên sưu tầm."
"E","E","Pali Viet Abhi- Terms","Pali Viet Abhidhamma Terms  Từ điển các thuật ngữ Vô Tỷ Pháp của ngài Tịnh Sự, được chép từ phần ghi chú thuật ngữ trong các bản dịch của ngài."
"E","K","Tipiṭaka Pāḷi-Myanmar Dictionary","Tipiṭaka Pāḷi-Myanmar Dictionary တိပိဋက-ပါဠိျမန္မာ အဘိဓာန္"
"E","O","Pali Roots Dictionary","Pali Roots Dictionary ဓါတ္အဘိဓာန္"
"E","R","U Hau Sein’s Pāḷi-Myanmar Dictionary","U Hau Sein’s Pāḷi-Myanmar Dictionary ပါဠိျမန္မာ အဘိဓာန္(ဦးဟုတ္စိန္)"
